,closes,actual,predicted
283,3063.02,0,0
284,3058.86,0,0
285,3064.25,0,0
286,3055.77,0,0
287,3064.39,0,0
288,3058.89,0,0
289,3062.08,0,0
290,3073.63,0,0
291,3068.62,1,0
292,3084.07,0,0
293,3081.08,0,0
294,3079.28,0,0
295,3078.25,0,0
296,3074.76,0,0
297,3079.35,0,0
298,3076.34,0,0
299,3064.79,0,0
300,3070.65,0,0
301,3068.38,0,0
302,3060.6,0,0
303,3062.74,0,0
304,3064.66,0,0
305,3068.93,0,0
306,3063.96,0,0
307,3061.59,0,0
308,3046.48,0,0
309,3050.98,0,0
310,3050.96,0,0
311,3053.8,0,0
312,3060.51,0,0
313,3060.57,0,0
314,3058.49,0,0
315,3062.14,0,0
316,3050.39,0,0
317,3047.87,0,0
318,3057.25,0,0
319,3064.3,0,0
320,3069.64,0,0
321,3068.81,0,0
322,3066.43,0,0
323,3069.27,0,0
324,3065.91,0,0
325,3070.01,0,0
326,3072.89,0,0
327,3074.3,0,0
328,3076.15,0,0
329,3074.73,0,0
330,3073.45,0,0
331,3085.79,0,0
332,3084.4,0,0
333,3080.54,0,0
334,3083.33,0,0
335,3085.69,0,0
336,3085.26,0,0
337,3090.91,0,0
338,3088.68,0,0
339,3097.84,0,0
340,3102.4,0,0
341,3098.34,0,0
342,3104.6,0,0
343,3106.36,0,0
344,3111.55,0,0
345,3104.47,0,0
346,3101.84,0,0
347,3104.62,0,0
348,3093.44,0,0
349,3090.27,0,0
350,3089.97,0,0
351,3088.28,0,0
352,3084.88,0,0
353,3070.04,0,0
354,3082.48,0,0
355,3084.99,0,0
356,3094.0,0,0
357,3097.55,0,0
358,3097.9,0,0
359,3098.97,0,0
360,3086.16,1,0
361,3105.0,0,0
362,3103.83,0,0
363,3103.55,0,0
364,3097.96,0,0
365,3102.22,0,0
366,3099.01,0,0
367,3096.51,0,0
368,3087.93,0,0
369,3090.94,0,0
370,3092.51,0,0
371,3090.2,0,0
372,3095.66,0,0
373,3101.49,0,0
374,3104.12,0,0
375,3101.07,0,0
376,3108.87,0,0
377,3106.33,0,0
378,3098.42,0,0
379,3093.32,0,0
380,3105.14,0,0
381,3103.18,0,0
382,3099.78,0,0
383,3095.17,0,0
384,3100.0,0,0
385,3101.25,0,0
386,3095.05,0,0
387,3096.28,0,0
388,3088.45,0,0
389,3088.3,0,0
390,3082.62,0,0
391,3088.57,1,0
392,3107.33,0,0
393,3101.9,1,0
394,3118.73,0,0
395,3113.93,0,0
396,3107.75,0,0
397,3108.98,0,0
398,3098.99,0,0
399,3100.15,0,0
400,3107.1,0,0
401,3102.23,0,0
402,3101.98,0,0
403,3105.51,0,0
404,3108.15,0,0
405,3106.44,0,0
406,3115.82,0,0
407,3113.08,0,0
408,3110.92,0,0
409,3114.99,0,0
410,3114.31,0,0
411,3112.81,0,0
412,3124.86,0,0
413,3121.64,0,0
414,3122.98,0,0
415,3115.62,0,0
416,3110.04,0,0
417,3115.03,0,0
418,3118.47,0,0
419,3115.57,0,0
420,3108.67,0,0
421,3109.42,0,0
422,3102.76,1,0
423,3122.91,0,0
424,3115.65,0,0
425,3093.99,0,0
426,3106.88,0,0
427,3099.8,0,0
428,3100.37,0,0
429,3099.0,0,0
430,3099.16,0,0
431,3095.75,0,0
432,3099.96,0,0
433,3109.8,0,0
434,3113.55,0,0
435,3112.83,0,0
436,3109.38,0,0
437,3102.93,0,0
438,3109.39,0,0
439,3101.9,0,0
440,3105.31,0,0
441,3095.8,0,0
442,3095.0,0,0
443,3090.97,0,0
444,3081.42,0,0
445,3082.82,0,0
446,3084.76,0,0
447,3088.35,0,0
448,3090.42,0,0
449,3093.13,0,0
450,3099.02,0,0
451,3096.02,0,0
452,3100.02,0,0
453,3091.44,0,0
454,3081.1,0,0
455,3089.76,0,0
456,3093.14,0,0
457,3089.29,0,0
458,3083.79,0,0
459,3085.15,0,0
460,3073.95,0,0
461,3074.83,0,0
462,3076.97,0,0
463,3082.19,0,0
464,3074.51,0,0
465,3080.44,0,0
466,3080.16,0,0
467,3064.24,0,0
468,3053.57,0,0
469,3029.27,0,0
470,3022.95,0,0
471,3022.66,0,0
472,3019.2,0,1
473,3005.47,0,1
474,2992.99,0,1
475,2977.98,1,1
476,2994.74,0,1
477,3000.19,0,1
478,2985.08,0,1
479,2981.15,1,1
480,3012.46,0,1
481,3013.2,0,1
482,3004.73,0,1
483,3003.21,0,1
484,2995.45,0,1
485,2992.89,0,1
486,2967.36,0,1
487,2959.55,0,1
488,2938.92,0,1
489,2943.9,0,1
490,2923.56,0,1
491,2926.7,0,1
492,2921.75,0,1
493,2929.09,0,1
494,2927.93,0,1
495,2934.97,0,1
496,2921.71,0,1
497,2917.46,0,1
498,2920.78,0,1
499,2931.38,0,1
500,2932.41,0,1
501,2937.22,0,1
502,2935.43,0,1
503,2939.93,0,1
504,2930.5,0,1
505,2927.0,0,0
506,2931.57,0,0
507,2928.87,0,0
508,2925.94,0,0
509,2926.34,0,0
510,2932.01,0,0
511,2922.03,0,0
512,2915.17,0,0
513,2918.12,0,0
514,2915.14,0,0
515,2904.11,0,0
516,2917.34,0,0
517,2914.35,0,0
518,2905.83,0,0
519,2888.54,0,0
520,2881.83,0,0
521,2893.99,0,0
522,2900.88,0,0
523,2881.64,1,0
524,2900.43,0,0
525,2911.65,0,0
526,2920.42,0,0
527,2921.77,0,0
528,2931.94,0,0
529,2926.91,0,0
530,2926.91,0,0
531,2925.31,0,0
532,2926.14,0,0
533,2927.54,0,0
534,2924.94,0,0
535,2917.07,0,0
536,2914.55,0,0
537,2920.95,0,0
538,2921.01,0,0
539,2916.18,0,0
540,2923.16,0,0
541,2929.02,0,0
542,2923.68,0,0
543,2931.37,0,0
544,2927.96,0,0
