time,open,high,low,close,Volume,Volume MA,RSI
1625288400,2139.49,2140.29,2132.45,2134.23,1619.50484,3574.5732344999983,41.26223925074488
1625289300,2134.23,2138.98,2130.1,2136.01,4406.56128,3605.2370009999977,47.487996252488585
1625290200,2136.02,2145.99,2136.01,2145.79,4850.95765,3563.332399499998,46.84054534676944
1625291100,2145.95,2154.66,2143.25,2146.48,6371.72212,3743.5307769999977,49.0483162518302
1625292000,2146.46,2150.36,2141.92,2147.53,3121.21605,3769.060755499998,52.85073670723913
1625292900,2147.54,2154.78,2146.85,2148.83,4859.15257,3835.412842499998,66.50515786183185
1625293800,2149.01,2153.0,2142.0,2145.65,2931.41117,3773.797398999998,62.649870997116565
1625294700,2145.65,2149.14,2139.23,2143.11,2667.50604,3721.643900499998,66.02687140115172
1625295600,2143.04,2147.98,2136.0,2142.79,8889.78622,3972.2417654999977,60.621004566210146
1625296500,2142.89,2154.0,2140.51,2152.99,17201.71749,4670.267480499997,61.58916800285039
1625297400,2153.07,2188.0,2152.99,2181.25,27550.56387,5949.242559999997,84.74507688157544
1625298300,2181.23,2207.41,2179.07,2195.95,21798.17651,6925.207739999996,86.38005780346819
1625299200,2195.62,2203.97,2188.63,2196.75,11736.54361,7168.303227999995,85.83948916990114
1625300100,2196.76,2198.49,2188.69,2190.64,9630.54855,7532.742204499996,84.94610333292023
1625301000,2190.65,2201.65,2190.34,2190.42,8994.96648,7800.925786999996,84.37144662034119
1625301900,2190.65,2199.81,2187.14,2195.67,6203.06351,7756.374569999995,83.42267488608964
1625302800,2195.96,2219.0,2195.91,2214.56,15534.2478,8234.965651499997,86.67313079077792
1625303700,2214.61,2215.0,2206.92,2207.48,10121.07535,8585.374141499997,80.32372281234201
1625304600,2207.49,2217.5,2199.39,2214.34,7070.65327,8851.288091999997,81.37151613830108
1625305500,2214.23,2224.33,2210.31,2216.99,8258.42746,9190.890091999998,84.33769734308815
1625306400,2217.0,2222.48,2212.08,2218.01,7351.90121,9477.509910499995,86.58655724892537
1625307300,2218.01,2220.68,2211.13,2217.94,5570.00629,9535.682160999995,86.79855058270492
1625308200,2218.03,2223.55,2213.29,2219.14,7302.97404,9658.282980499996,85.52250026849963
1625309100,2219.14,2222.35,2214.32,2220.51,4761.51945,9577.772846999997,79.6436122017518
1625310000,2220.51,2223.75,2212.76,2215.04,5079.25198,9675.6746435,66.74855237761004
1625310900,2215.23,2216.84,2202.53,2207.01,9071.02426,9886.268227999995,57.9881656804735
1625311800,2206.86,2207.97,2195.28,2203.21,9312.16376,10205.305857499998,60.15183330641262
1625312700,2203.0,2213.8,2202.95,2213.56,4901.04399,10316.982754999995,66.06052193225966
1625313600,2213.55,2234.97,2208.13,2224.48,15333.57958,10639.172422999996,68.53686784197642
1625314500,2224.47,2226.46,2217.22,2221.94,3739.21116,9966.047106499997,56.013689700130406
1625315400,2221.95,2222.0,2215.15,2216.14,4617.52743,8819.395284499995,57.20705725699046
1625316300,2216.15,2221.79,2211.2,2217.47,5310.48822,7995.0108699999955,52.868927589367196
1625317200,2217.49,2219.79,2206.18,2211.89,6312.98589,7723.832983999996,45.56367432150328
1625318100,2211.89,2227.0,2208.39,2225.78,6487.26465,7566.668788999996,55.52238805970141
1625319000,2225.77,2227.88,2217.63,2220.55,4711.76115,7352.508522499996,51.728247914183626
1625319900,2220.4,2236.1,2219.23,2236.1,10651.69355,7574.940024499995,59.43690184731801
1625320800,2236.09,2240.0,2227.07,2233.7,6723.86293,7134.420780999995,57.2560237649904
1625321700,2233.71,2237.36,2223.38,2236.95,5217.71111,6889.252568999995,62.35479869177841
